"Ship with Kiala","Livraison avec Kiala"
"Select different Kiala point on the map","Choisissez un autre Relais Kiala sur la carte."
"Kiala allows parcels to be delivered to close by shops with wide opening hours and no waiting lines.","Kiala permet la livraison de colis dans des commerces de proximité aux heures d'ouverture larges et sans file d’attente."
"You can select an other Kiala point on the map below","Vous pouvez choisir un autre Relais Kiala sur la carte ci-dessous:"
"Based on your address details, we suggest following Kiala point","Sur la base de votre adresse, nous vous proposons les Relais Kiala suivants:"
"You selected this Kiala Point","Vous avez sélectionné ce Relais Kiala:"
"Based on your previous order, we suggest following Kiala point","Sur la base de votre précédente commande, nous vous proposons le Relais Kiala suivant"
"The Kiala point {kialapoint_name} you selected in a previous order is not available. ({reason}) We suggest following Kiala point as alternative","Le Relais Kiala {kialapoint_name} que vous avez sélectionné lors de votre précédente commande n’est pas disponible ({raison}). Nous vous suggérons le Relais Kiala suivant comme alternative."
"More info...","Plus d'info..."
"Show map inline","Voir la carte en ligne"
"Show the Locate & Select map inline (yes) or with a link (no) in the checkout.","Voir la carte de localisation et de sélection de Relais Kiala en ligne (oui) ou avec un lien (non) dans la page de confirmation de commande."
"Map width","Largeur de la carte"
"Change the width of the map(pixels).","Changez la largeur de la carte (pixels)."
"Map Height","Hauteur de la carte"
"Change the height of the map(pixels).","Changez la hauteur de la carte (pixels)."
"Kiala Pack & Ship Desktop installed?","Le bureau Kiala Pack & Ship est-il installé?"
"Enables to export the orders for uploading in Kiala Pack & Ship Desktop.","Permet d'exporter les commandes afin de les télécharger sur le bureau Kiala Pack & Ship."
"Kiala Sender ID","Identité de l’expéditeur Kiala"
"Can be found or created on our website.","Peut être trouvé ou créé sur notre site internet."
"Kiala password","Mot de passe Kiala"
"Sender country","Pays de l’expéditeur"
"Specify country from where parcels are shipped.","Précisez le pays d’où les colis sont expédiés."
"Preparation delay","Retard de préparation"
"Specify how long it will take to prepare your shipment.","Spécifiez combien de temps il faudra pour préparer votre envoi."
"CSS","CSS"
"Specify the url to a custom css file. This url must be public.","Spécifiez l'URL d'un fichier CSS personnalisé. Cet URL doit être publique."
"Use Table Rates","Utilisation des grilles tarifaires"
"Calculate shipment costs based on configuration of Table Rates.","Calculer les coûts d'expédition en fonction de la configuration des grilles tarifaires."
"Flat Fee shipping cost","Frais d’envoi unique"
"Specify fixed amount as shipment cost e.g.: 4.95. This will only work if Use Table Rates is turned off.","Spécifiez un coût fixe d’envoi ex.: 4.95. Cela ne fonctionnera que si l’utilisation des grilles tarifaires est fermée."
"DSPID Configuration","Configuration DSPID"
"This matrix is used to configure dspid for destination. This field should not be changed unless instructed by Kiala.","Cette matrice est utilisée pour configure le dspid pour la destination. Ce champ ne peut pas être changé à moins que cela ait été demandé par Kiala."
"Locate & Select URL","URL Locate & Select"
"This field should not be changed unless instructed by Kiala.","Ce champ ne peut pas être changé à moins que cela ait été demandé par Kiala."
"Api URL","URL Api"
"Track & Trace URL","URL Track & Trace"
"Proxy host","Port Proxy"
"Use when Magento store needs to pass through proxy to reach the internet. DO NOT ADD 'http://' !","A utiliser lorsque le store Magento doit passer par proxy pour accéder à Internet. NE PAS AJOUTER "http://"!"
"Proxy port","Port Proxy"
"Use when Magento store needs to pass through proxy to reach the internet.","A utiliser lorsque le store Magento doit passer par proxy pour accéder à Internet."
"Carrier name","Nom du transporteur"
"Name showed on a number of magento pages.","Nom apparaissant sur un certain nombre de pages Magento."
"Select your language for the delivery notification:","Choisissez la langue pour la notification lors de la livraison:"
"Next"," Continuer"
"The order in which the shipping services appear on the checkout.","L'ordre dans lequel les services d'envoi apparaissent."
"Please choose your Kiala Point.", "S'il vous plaît choisissez votre Point Kiala."
"Collection Point Delivery","Livraison en Relais Kiala"
