"Ship with Kiala","Verzenden met Kiala"
"Select different Kiala point on the map","Selecteer een ander Kialapunt op de kaart:"
"Kiala allows parcels to be delivered to close by shops with wide opening hours and no waiting lines.","Kiala bezorgt pakketten bij dichtbijgelegen winkels met ruime openingstijden en zonder wachtrijen."
"You can select an other Kiala point on the map below","U kunt een ander Kiala afhaalpunt selecteren op onderstaande kaart:"
"Based on your address details, we suggest following Kiala point","Op basis van uw adresgegevens stellen we het volgende Kiala afhaalpunt voor:"
"You selected this Kiala Point","U hebt dit Kiala afhaalpunt geselecteerd:"
"Based on your previous order, we suggest following Kiala point","Op basis van uw vorige bestelling stellen we het volgende Kiala afhaalpunt voor:"
"The Kiala point {kialapoint_name} you selected in a previous order is not available. ({reason}) We suggest following Kiala point as alternative","Het Kiala afhaalpunt {kialapoint_name} dat u bij een vorige bestelling selecteerde, is niet beschikbaar. ({reason}) We stellen als alternatief het volgende Kiala afhaalpunt voor:"
"More info...","Meer info..."
"Show map inline","Kaart online tonen"
"Show the Locate & Select map inline (yes) or with a link (no) in the checkout.","Toon de 'Locate & Select'-kaart online (ja) of met een link (nee) bij de kassa."
"Map width","Breedte kaart"
"Change the width of the map(pixels).","Wijzig de breedte van de kaart (pixels)."
"Map Height","Hoogte kaart"
"Change the height of the map(pixels).","Wijzig de hoogte van de kaart (pixels)."
"Kiala Pack & Ship Desktop installed?","Is Kiala Pack & Ship Desktop geïnstalleerd?"
"Enables to export the orders for uploading in Kiala Pack & Ship Desktop.","Stelt u in staat de bestellingen te exporteren voor uploaden in Kiala Pack & Ship Desktop."
"Kiala Sender ID","Kiala-verzender-ID"
"Can be found or created on our website.","Vindt u op onze website of kunt u daar aanmaken."
"Kiala password","Kiala-wachtwoord"
"Sender country","Land verzender"
"Specify country from where parcels are shipped.","Specifieer het land van waaruit de pakketten worden verzonden."
"Preparation delay","Voorbereidingstermijn"
"Specify how long it will take to prepare your shipment.","SSpecifieer hoe lang het duurt om uw verzending voor te bereiden."
"CSS","CSS"
"Specify the url to a custom css file. This url must be public.","Specifieer de URL van een aangepast css-bestand. Deze URL moet openbaar zijn."
"Use Table Rates","Tarieven uit de tabel gebruiken"
"Calculate shipment costs based on configuration of Table Rates.","Bereken de verzendingskosten op basis van de configuratie van de tarieven uit de tabel."
"Flat Fee shipping cost","Vast tarief verzendkosten"
"Specify fixed amount as shipment cost e.g.: 4.95. This will only work if Use Table Rates is turned off.","Specifieer een vast bedrag als verzendkosten, bijv.: € 4,95. Dit werkt alleen als "Tarieven uit de tabel gebruiken" is uitgeschakeld."
"DSPID Configuration","DSPID-configuratie"
"This matrix is used to configure dspid for destination. This field should not be changed unless instructed by Kiala.","Deze matrix wordt gebruikt om dspid voor de bestemming te configureren. Wijzig dit veld niet, tenzij Kiala daarvoor opdracht geeft."
"Locate & Select URL","Locate & Select URL"
"This field should not be changed unless instructed by Kiala.","Wijzig dit veld niet, tenzij Kiala daarvoor opdracht geeft."
"Api URL","Api URL"
"Track & Trace URL","Track & Trace URL"
"Proxy host","Proxy host"
"Use when Magento store needs to pass through proxy to reach the internet. DO NOT ADD 'http://' !","Gebruik dit wanneer de Magento webshop via een proxy het internet moet bereiken. 'http://' NIET TOEVOEGEN!"
"Proxy port","Proxy port"
"Use when Magento store needs to pass through proxy to reach the internet.","Gebruik dit wanneer de Magento webshop via een proxy het internet moet bereiken."
"Carrier name","Naam expediteur"
"Name showed on a number of magento pages.","Naam die wordt getoond op een aantal Magento-pagina's."
"Select your language for the delivery notification:","Kies uw taal voor leveringsmededeling:"
"Next","Verder"
"The order in which the shipping services appear on the checkout.","De volgorde waarin de verzendingsdiensten weergegeven worden."
"Please choose your Kiala Point.", "Selecteer uw Kiala afhaalpunt."
"Please select a Kiala Point where you will collect your order!","Selecteer een kialapunt waar je je order wil afhalen"
"Collection Point Delivery","Verzenden naar een Kialapunt"
